item_id,views,total_dur
10440,202457,5534082820
15297,193123,4432354370
9728,132865,781720945
13865,122119,818712402
4151,91167,959195844
3734,74803,440073748
2657,68581,413997243
4880,55043,367487767
142,45367,219158905
6809,40372,280351321
12192,38242,334479661
9996,37438,629719520
8636,35631,234036166
4740,34325,222392998
7571,28372,141424973
11237,25719,124260976
1844,24375,143472098
12995,22564,115250811
4457,21400,106594700
14431,21188,89808152
4495,21074,81136011
14741,20398,72920755
7829,20017,72056894
7102,19211,58355217
7793,18962,45378976
11863,18909,49521295
7417,18109,99808072
4436,17499,106317502
14703,17419,79316551
16228,17374,579679341
7107,16279,9677311
12173,14996,113749113
13018,14568,69299330
16166,13995,81079515
7626,13925,99073885
3784,13744,47686992
849,13713,38778267
14317,13482,66915731
1916,13467,26346933
5658,13269,50740081
6192,13091,936851937
3935,12720,58979015
101,12373,21209504
3076,12026,27201760
14470,11928,37372595
11778,11893,76877666
1819,11873,70644373
3182,11851,75043156
1132,11325,38537664
341,11323,15932294
